# Planet Labs 18 SPCS Matching Report v1
# Available publicly at: http://ephemerides.planet-labs.com/18SPCS_matches_v1.txt
# Epoch: 2022-01-25T23:17:45Z
#
# Planet Labs ranging and GPS data always positively identifies the satellite
# RMS error < 5 km implies a 'good' match.
# hist: from historical match in absence of present match
#
# Column descriptions:
# * hw_id - Planet hardware ID of satellite.
# * planet_name - Planet's internal name of the satellite.
# * 18spcs_name - The name the 18th SPCS uses for the satellite.
# * catid - The ID of the satellite in the 18th SPCS catalog.
# * rms_km - The RMS error of the best TLE matches for this satellite.Up to 3 best matches are represented, each one separated by a '/'.
# * matches - The IDs of the best TLE matches for this satellite. Up to 3 best matches are represented, each one separated by a '/'.
# * correct_name - Flag identifying whether any of the TLE matches have the name we would expect for this satellite. Up to 3 best matches are represented, each one separated by a '/'.
# * catalogued - has the satellite been officially catalogued in the 18th SPCS cagolog?
# * catid_9digit - Temporary 9-digit catalog ID assigned by 18th SPCS for LEOP.
# * catid_supplemental - catalog-ID used by Celestrak published Supplemental TLEs during LEOP
#
# hw_id    planet_name       18spcs_name    catid    rms_km               matches            correct_name       catalogued    catid_9digit    catid_supplemental
0505       Dove 2 0505       DOVE 2         39132    hist                 39132              True               True          -               -
0711       Dove 3 0711       DOVE 3         39429    hist                 39429              True               True          -               -
0903       Flock 1c-1 0903   FLOCK 1C 1     40027    0.635                40027              True               True          -               -
0904       Flock 1c-2 0904   FLOCK 1C 2     40029    1.122                40029              True               True          -               -
0905       Flock 1c-3 0905   FLOCK 1C 3     40041    hist                 40041              True               True          -               -
0906       Flock 1c-4 0906   FLOCK 1C 4     40031    0.958                40031              True               True          -               -
0907       Flock 1c-5 0907   FLOCK 1C 5     40038    0.686                40038              True               True          -               -
0908       Flock 1c-6 0908   FLOCK 1C 6     40036    0.871                40036              True               True          -               -
0909       Flock 1c-7 0909   FLOCK 1C 7     40026    0.795                40026              True               True          -               -
090a       Flock 1c-8 090a   FLOCK 1C 8     40040    hist                 40040              True               True          -               -
090b       Flock 1c-9 090b   FLOCK 1C 9     40035    0.848                40035              True               True          -               -
090c       Flock 1c-10 090c  FLOCK 1C 10    40023    0.608                40023              True               True          -               -
090d       Flock 1c-11 090d  FLOCK 1C 11    40033    hist                 40033              True               True          -               -
0e0d       Flock 2p-1 0e0d   FLOCK 2P 1     41617    hist                 41617              True               True          -               -
0e0e       Flock 2p-2 0e0e   FLOCK 2P 2     41609    hist                 41609              True               True          -               -
0e0f       Flock 2p-3 0e0f   FLOCK 2P 3     41618    0.857                41618              True               True          -               -
0e14       Flock 2p-4 0e14   FLOCK 2P 4     41611    hist                 41611              True               True          -               -
0e16       Flock 2p-5 0e16   FLOCK 2P 5     41616    hist                 41616              True               True          -               -
0e19       Flock 2p-6 0e19   FLOCK 2P 6     41606    0.525                41606              True               True          -               -
0e1f       Flock 2p-7 0e1f   FLOCK 2P 7     41615    hist                 41615              True               True          -               -
0e20       Flock 2p-8 0e20   FLOCK 2P 8     41613    0.744                41613              True               True          -               -
0e26       Flock 2p-9 0e26   FLOCK 2P 9     41610    0.788                41610              True               True          -               -
0e2f       Flock 2p-10 0e2f  FLOCK 2P 10    41612    0.699                41612              True               True          -               -
0e30       Flock 2p-11 0e30  FLOCK 2P 11    41608    hist                 41608              True               True          -               -
0e3a       Flock 2p-12 0e3a  FLOCK 2P 12    41614    hist                 41614              True               True          -               -
0f02       Flock 3m-2 0f02   FLOCK 3M 2     42998    0.645                42998              True               True          -               -
0f06       Flock 3m-1 0f06   FLOCK 3M 1     42995    1.2                  42995              True               True          -               -
0f10       Flock 3p-72 0f10  FLOCK 3P 72    42051    0.835                42051              True               True          -               -
0f11       Flock 3p-71 0f11  FLOCK 3P 71    42024    hist                 42024              True               True          -               -
0f12       Flock 3p-75 0f12  FLOCK 3P 75    41979    hist                 41979              True               True          -               -
0f13       Flock 3m-3 0f13   FLOCK 3M 3     42996    0.682                42996              True               True          -               -
0f15       Flock 3p-70 0f15  FLOCK 3P 70    41980    1.091                41980              True               True          -               -
0f17       Flock 3p-76 0f17  FLOCK 3P 76    42019    0.755                42019              True               True          -               -
0f18       Flock 3p-5 0f18   FLOCK 3P 5     41971    hist                 41971              True               True          -               -
0f1a       Flock 2k-1 0f1a   FLOCK 2K 01    42852    13.861               42852              False              True          -               -
0f1b       Flock 3p-73 0f1b  FLOCK 3P 73    41981    hist                 41981              True               True          -               -
0f1d       Flock 3p-85 0f1d  FLOCK 3P 85    41983    0.684                41983              True               True          -               -
0f1e       Flock 2k-2 0f1e   FLOCK 2K 02    42853    hist                 42853              False              True          -               -
0f21       Flock 2k-3 0f21   FLOCK 2K 03    42850    5.545                42850              False              True          -               -
0f22       Flock 3p-74 0f22  FLOCK 3P 74    42048    1.015                42048              True               True          -               -
0f24       Flock 2k-4 0f24   FLOCK 2K 04    42851    9.29                 42851              False              True          -               -
0f25       Flock 3p-81 0f25  FLOCK 3P 81    42043    hist                 42043              True               True          -               -
0f28       Flock 3p-77 0f28  FLOCK 3P 77    42025    hist                 42025              True               True          -               -
0f29       Flock 2k-5 0f29   FLOCK 2K 05    42864    5.852                42864              False              True          -               -
0f2a       Flock 2k-6 0f2a   FLOCK 2K 06    42897    8.363                42897              False              True          -               -
